                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.61045,                0.33505,                0.82089,                0.98669,                 0.9803,                0.99129,                0.85471,                    0.6,                0.29405,                0.79651,             0.00026977,             0.00026977,             0.00026977
                     55,                0.61699,                0.33694,                0.82264,                0.98647,                0.97681,                0.98974,                0.85435,                0.60321,                 0.2946,                0.79661,             0.00026427,             0.00026427,             0.00026427
                     56,                0.61688,                0.33541,                0.82195,                0.98486,                0.98031,                0.99045,                0.85118,                  0.611,                0.29856,                0.79514,             0.00025876,             0.00025876,             0.00025876
                     57,                 0.6118,                 0.3341,                0.81976,                0.98497,                0.98001,                0.99062,                0.85815,                0.58547,                0.29022,                0.79297,             0.00025326,             0.00025326,             0.00025326
                     58,                0.61395,                  0.332,                0.81884,                 0.9902,                0.97381,                0.99044,                0.85151,                0.61158,                0.29641,                0.79578,             0.00024775,             0.00024775,             0.00024775
                     59,                0.60835,                 0.3294,                 0.8214,                 0.9886,                0.97502,                0.99017,                0.85077,                0.60595,                0.29382,                0.79401,             0.00024225,             0.00024225,             0.00024225
                     60,                 0.6065,                 0.3284,                0.81896,                0.99113,                0.97988,                0.99182,                0.86229,                0.58925,                0.28897,                0.79373,             0.00023674,             0.00023674,             0.00023674
                     61,                 0.6068,                 0.3278,                0.81834,                0.99235,                0.97626,                0.99047,                0.86121,                0.58087,                0.28671,                0.79043,             0.00023124,             0.00023124,             0.00023124
                     62,                0.60537,                0.32718,                0.82066,                0.98951,                0.97862,                0.99066,                0.85225,                0.60565,                0.29537,                0.79418,             0.00022574,             0.00022574,             0.00022574
                     63,                0.60653,                0.32424,                0.81994,                0.98568,                0.97611,                0.98941,                0.85923,                0.58259,                0.28975,                0.78874,             0.00022023,             0.00022023,             0.00022023
                     64,                0.60203,                0.32676,                 0.8185,                0.98864,                0.97929,                0.99141,                0.86235,                0.58239,                 0.2892,                0.79054,             0.00021473,             0.00021473,             0.00021473
                     65,                0.60088,                 0.3248,                0.81903,                0.98728,                0.98057,                0.99134,                0.86364,                0.58314,                0.28663,                0.79223,             0.00020922,             0.00020922,             0.00020922
                     66,                0.60071,                0.32335,                0.81833,                0.99322,                0.97519,                0.99117,                0.85928,                0.59636,                 0.2915,                0.79297,             0.00020372,             0.00020372,             0.00020372
                     67,                 0.5995,                0.32144,                 0.8168,                0.98626,                0.97872,                0.99072,                0.85834,                 0.5976,                0.28744,                0.79426,             0.00019821,             0.00019821,             0.00019821
                     68,                0.59239,                0.31779,                0.81904,                0.98293,                0.97932,                0.98971,                0.86246,                0.58173,                0.28626,                0.79092,             0.00019271,             0.00019271,             0.00019271
                     69,                0.59755,                0.31969,                0.82059,                0.99156,                0.97916,                  0.992,                 0.8614,                0.57974,                0.28167,                0.78943,             0.00018721,             0.00018721,             0.00018721
