                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.66801,                 0.4108,                0.83517,                0.98952,                 0.9782,                0.99054,                 0.8483,                0.60672,                0.34501,                0.79281,             0.00021473,             0.00021473,             0.00021473
                     65,                0.66705,                0.40898,                0.83599,                0.98846,                0.98154,                0.99131,                0.84993,                0.60491,                0.34007,                0.79428,             0.00020922,             0.00020922,             0.00020922
                     66,                0.66507,                0.40967,                0.83473,                0.98453,                0.98275,                0.99087,                0.84841,                0.60364,                0.34279,                0.79428,             0.00020372,             0.00020372,             0.00020372
                     67,                0.66398,                 0.4068,                0.83245,                0.98867,                 0.9759,                0.99012,                0.84333,                0.61243,                0.34146,                0.79415,             0.00019821,             0.00019821,             0.00019821
                     68,                0.65703,                0.40215,                 0.8347,                0.98314,                0.97562,                0.98873,                0.84491,                0.61716,                  0.346,                0.79405,             0.00019271,             0.00019271,             0.00019271
                     69,                0.66367,                0.40501,                0.83644,                0.98735,                0.98114,                 0.9908,                0.84881,                0.60161,                0.34007,                0.79207,             0.00018721,             0.00018721,             0.00018721
                     70,                0.66808,                0.40486,                0.83213,                0.98822,                0.98242,                0.99133,                0.84973,                0.60854,                0.34056,                0.79579,              0.0001817,              0.0001817,              0.0001817
                     71,                0.65886,                0.40142,                0.83277,                0.98773,                0.98015,                0.99072,                0.84753,                0.60713,                0.34006,                0.79439,              0.0001762,              0.0001762,              0.0001762
                     72,                0.66499,                0.40132,                0.82992,                0.98417,                0.98005,                0.98985,                0.84795,                0.61022,                0.34244,                0.79256,             0.00017069,             0.00017069,             0.00017069
                     73,                0.65415,                0.39573,                0.82998,                0.98499,                0.98217,                0.99066,                0.85091,                0.60383,                0.33713,                 0.7926,             0.00016519,             0.00016519,             0.00016519
                     74,                0.65507,                0.39698,                0.82988,                0.98248,                  0.982,                0.98993,                0.84924,                0.60849,                0.33948,                 0.7919,             0.00015968,             0.00015968,             0.00015968
                     75,                0.64694,                0.39327,                0.83289,                0.98716,                0.97932,                0.99006,                0.84808,                0.60909,                0.33684,                 0.7917,             0.00015418,             0.00015418,             0.00015418
                     76,                0.65778,                0.39814,                0.83202,                0.98654,                 0.9804,                0.99041,                0.84687,                0.60801,                0.33688,                0.79297,             0.00014867,             0.00014867,             0.00014867
                     77,                0.65861,                0.39745,                0.83287,                0.98524,                0.98023,                0.98976,                0.84668,                0.61176,                0.33988,                0.79245,             0.00014317,             0.00014317,             0.00014317
                     78,                0.64999,                0.39353,                0.82855,                0.98794,                 0.9786,                0.99031,                0.85095,                0.60172,                0.33401,                0.79283,             0.00013767,             0.00013767,             0.00013767
                     79,                0.65041,                0.39299,                0.83055,                0.98573,                0.98152,                0.99072,                0.85111,                0.59982,                0.33107,                0.79262,             0.00013216,             0.00013216,             0.00013216
                     80,                0.64153,                 0.3893,                0.82858,                0.98425,                0.97792,                0.98938,                 0.8463,                0.61229,                0.33694,                0.79228,             0.00012666,             0.00012666,             0.00012666
                     81,                0.65102,                0.39168,                0.83305,                0.98396,                0.98535,                0.99102,                0.85327,                0.60254,                0.33129,                0.79327,             0.00012115,             0.00012115,             0.00012115
                     82,                0.64888,                0.38986,                0.82817,                 0.9872,                0.98186,                0.99081,                 0.8524,                0.60002,                0.33011,                0.79137,             0.00011565,             0.00011565,             0.00011565
                     83,                0.64461,                0.38701,                0.82803,                0.98455,                0.98075,                 0.9898,                0.84961,                0.60187,                0.33241,                0.79168,             0.00011014,             0.00011014,             0.00011014
                     84,                0.64074,                 0.3863,                0.82837,                0.98766,                0.97872,                0.99041,                 0.8519,                 0.5953,                 0.3287,                0.79113,             0.00010464,             0.00010464,             0.00010464
                     85,                0.64823,                0.38663,                0.83136,                0.98581,                0.97839,                0.99003,                0.84972,                0.60934,                0.33518,                0.79203,             9.9135e-05,             9.9135e-05,             9.9135e-05
                     86,                0.64223,                0.38193,                0.82895,                0.98472,                0.98228,                0.99056,                0.85095,                0.60431,                0.32876,                0.79177,              9.363e-05,              9.363e-05,              9.363e-05
                     87,                0.63674,                0.38456,                0.82646,                0.98455,                0.98117,                0.99045,                0.84989,                0.60079,                0.32682,                0.79201,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     88,                 0.6357,                0.38136,                0.82635,                0.98613,                0.98025,                0.99025,                0.84952,                0.60298,                0.32759,                0.79081,             8.2622e-05,             8.2622e-05,             8.2622e-05
